01:33:15.570591527;64;000000000000000b-2<-->a-33
01:33:09.578722934;39;0000000000000027-2<-->26-33
01:33:16.668574936;77;000000000000001e-3<-->1f-32
01:33:15.026788597;60;000000000000000c-2<-->b-33
01:33:15.821046003;67;0000000000000007-3<-->8-32
01:33:17.987026504;97;000000000000001d-3<-->1e-32
01:33:09.973087022;41;0000000000000011-3<-->12-32
01:33:08.539452068;35;0000000000000031-3<-->32-32
01:33:16.169478538;71;0000000000000026-3<-->27-32
01:33:16.941478874;82;000000000000000a-2<-->9-33
01:33:17.491729299;91;0000000000000015-3<-->16-32
01:33:13.884872596;54;000000000000002d-2<-->2c-33
01:33:01.493233047;10;000000000000002c-2<-->2b-33
01:33:16.938578889;81;0000000000000008-3<-->9-32
01:33:03.080324886;17;000000000000002c-3<-->2d-32
01:33:05.068193929;23;0000000000000021-3<-->22-32
01:33:06.617708654;29;0000000000000029-3<-->2a-32
01:33:17.409118771;90;000000000000000e-3<-->f-32
01:33:01.924418643;13;0000000000000002-3<-->3-32
01:33:17.159373563;86;0000000000000025-2<-->24-33
01:33:12.467381784;48;0000000000000024-2<-->23-33
01:33:02.666223676;16;0000000000000022-2<-->21-33
01:33:07.449898985;31;0000000000000018-3<-->19-32
01:33:01.343047715;9;000000000000002a-3<-->2b-32
01:33:11.323313904;45;0000000000000030-3<-->31-32
01:33:12.779250412;49;000000000000001a-3<-->1b-32
01:33:15.221168524;61;0000000000000028-3<-->29-32
01:33:14.660964445;58;0000000000000019-2<-->18-33
01:33:14.225171343;55;0000000000000012-3<-->13-32
01:33:05.764148717;26;0000000000000016-2<-->15-33
01:33:05.068513381;24;0000000000000023-2<-->22-33
01:33:04.400661646;21;000000000000001b-3<-->1c-32
01:33:00.996637460;3;000000000000001b-2<-->1a-33
01:33:17.822000813;95;0000000000000026-2<-->25-33
01:33:11.323256015;44;0000000000000032-2<-->31-33
01:33:17.157856812;85;0000000000000023-3<-->24-32
01:33:06.177371660;28;0000000000000021-2<-->20-33
01:33:01.147935105;6;000000000000002f-2<-->2e-33
01:33:07.496448429;32;000000000000001a-2<-->19-33
01:33:16.586642806;76;0000000000000006-2<-->5-33
01:33:03.567422080;18;000000000000002e-2<-->2d-33
01:33:01.074548337;5;000000000000002d-3<-->2e-32
01:33:11.760244174;46;0000000000000002-2<-->1-32
01:33:10.370622782;42;0000000000000003-3<-->4-32
01:33:17.237860070;87;000000000000001c-3<-->1d-32
01:33:13.184793865;51;0000000000000001-2<-->2-32
01:33:14.863357573;59;000000000000000a-3<-->b-32
01:33:13.857609176;53;000000000000002b-3<-->2c-32
01:33:17.657390835;93;0000000000000010-3<-->11-32
01:33:16.456549330;73;000000000000000f-3<-->10-32
01:33:08.917981539;37;0000000000000031-2<-->30-33
01:33:04.761909575;22;000000000000001d-2<-->1c-33
01:33:15.946329493;68;0000000000000009-2<-->8-33
01:33:07.774805948;33;000000000000000c-3<-->d-32
01:33:04.055648069;20;0000000000000030-2<-->2f-33
01:33:00.918521989;2;0000000000000018-2<-->17-33
01:33:01.690361805;12;000000000000000f-2<-->e-33
01:33:04.048105504;19;000000000000002e-3<-->2f-32
01:33:16.865785868;80;0000000000000007-2<-->6-33
01:33:16.071444910;69;000000000000000b-3<-->c-32
01:33:17.019328251;83;0000000000000006-3<-->7-32
01:33:05.409590469;25;0000000000000014-3<-->15-32
01:33:08.208094423;34;000000000000000e-2<-->d-33
01:33:16.293637169;72;0000000000000028-2<-->27-33
01:33:17.408542026;89;0000000000000010-2<-->f-33
01:33:00.853796459;1;0000000000000016-3<-->17-32
01:33:15.399019236;63;0000000000000009-3<-->a-32
01:33:10.861744408;43;0000000000000005-2<-->4-33
01:33:13.530428551;52;0000000000000003-2<-->2-33
01:33:14.657999668;57;0000000000000017-3<-->18-32
01:33:16.456975914;74;0000000000000011-2<-->10-33
01:33:15.226252465;62;000000000000002a-2<-->29-33
01:33:17.987470346;98;000000000000001f-2<-->1e-33
01:33:07.073666476;30;000000000000002b-2<-->2a-33
01:33:02.638255439;15;0000000000000020-3<-->21-32
01:33:08.915646000;36;000000000000002f-3<-->30-32
01:33:17.742475375;94;0000000000000012-2<-->11-33
01:33:14.473447870;56;0000000000000014-2<-->13-33
01:33:09.972903580;40;0000000000000013-2<-->12-33
01:33:01.652466767;11;000000000000000d-3<-->e-32
01:33:17.822228634;96;0000000000000024-3<-->25-32
01:33:09.298866308;38;0000000000000025-3<-->26-32
01:33:15.722425010;66;0000000000000013-3<-->14-32
01:33:01.261421360;8;0000000000000029-2<-->28-33
01:33:17.323007660;88;000000000000001e-2<-->1d-33
01:33:00.997079305;4;0000000000000019-3<-->1a-32
01:33:16.668893225;78;0000000000000020-2<-->1f-33
01:33:06.176963844;27;000000000000001f-3<-->20-32
01:33:01.219726726;7;0000000000000027-3<-->28-32
01:33:16.745373271;79;0000000000000005-3<-->6-32
01:33:16.120615279;70;000000000000000d-2<-->c-33
01:33:15.721990548;65;0000000000000015-2<-->14-33
01:33:17.575872792;92;0000000000000017-2<-->16-33
01:33:16.518902151;75;0000000000000004-3<-->5-32
01:33:12.779300878;50;000000000000001c-2<-->1b-33
01:33:02.252316655;14;0000000000000004-2<-->3-33
01:33:12.107933504;47;0000000000000022-3<-->23-32
01:33:17.086467554;84;0000000000000008-2<-->7-33
