56948;['000000000000002d', '01:33:00.583198342']
56878;['000000000000001c', '01:33:00.572709273']
56876;['000000000000001a', '01:33:00.572415085']
56968;['0000000000000027', '01:33:00.598093740']
56910;['0000000000000024', '01:33:00.578635978']
56912;['0000000000000032', '01:33:00.578848024']
56914;['0000000000000012', '01:33:00.579054756']
56952;['0000000000000014', '01:33:00.593155893']
56916;['0000000000000018', '01:33:00.579259478']
56918;['0000000000000009', '01:33:00.579467680']
56894;['0000000000000022', '01:33:00.575304277']
56938;['000000000000002f', '01:33:00.582180913']
56896;['0000000000000026', '01:33:00.576952831']
56958;['000000000000002a', '01:33:00.593814358']
56890;['000000000000000f', '01:33:00.574885628']
56970;['0000000000000025', '01:33:00.598367131']
56892;['000000000000000d', '01:33:00.575095349']
56932;['000000000000002b', '01:33:00.581560608']
56930;['0000000000000013', '01:33:00.581332097']
56936;['0000000000000001', '01:33:00.581972460']
56898;['000000000000001b', '01:33:00.577257398']
56934;['0000000000000006', '01:33:00.581773412']
56964;['0000000000000002', '01:33:00.597521729']
56962;['000000000000002c', '01:33:00.597281848']
56966;['0000000000000010', '01:33:00.597807020']
56942;['0000000000000007', '01:33:00.582591531']
56974;['0000000000000015', '01:33:00.598907700']
56906;['0000000000000016', '01:33:00.578200181']
56904;['0000000000000005', '01:33:00.577985506']
56902;['000000000000000c', '01:33:00.577762415']
56900;['0000000000000029', '01:33:00.577534984']
56972;['0000000000000020', '01:33:00.598640189']
56908;['0000000000000028', '01:33:00.578416761']
56886;['0000000000000008', '01:33:00.574452949']
56928;['0000000000000019', '01:33:00.581070930']
56884;['000000000000000e', '01:33:00.574225629']
56940;['0000000000000003', '01:33:00.582385957']
56882;['0000000000000023', '01:33:00.573963462']
56946;['0000000000000004', '01:33:00.582990098']
56880;['000000000000000a', '01:33:00.572926063']
56944;['0000000000000017', '01:33:00.515498374']
56920;['000000000000000b', '01:33:00.579677173']
56922;['0000000000000030', '01:33:00.579885168']
56924;['000000000000002e', '01:33:00.580089695']
56888;['000000000000001f', '01:33:00.574678906']
56926;['000000000000001e', '01:33:00.580295864']
56954;['0000000000000031', '01:33:00.593384938']
56960;['0000000000000011', '01:33:00.596992511']
56956;['0000000000000021', '01:33:00.593605776']
56950;['000000000000001d', '01:33:00.583410075']
